"","days","liczba"
"1","01",7541
"2","02",2914
"3","03",6111
"4","04",5741
"5","05",7205
"6","06",7558
"7","07",3746
"8","08",6511
"9","09",7009
"10","10",6011
"11","11",6226
"12","12",7306
"13","13",5848
"14","14",7078
"15","15",7483
"16","16",7052
"17","17",6466
"18","18",6239
"19","19",7721
"20","20",7418
"21","21",2379
"22","22",6437
"23","23",7497
"24","24",7255
"25","25",6384
"26","26",7877
"27","27",7964
"28","28",7860
"29","29",7689
"30","30",7252
"31","31",7812
